question,summary
"THEME: Normal physical features but no MESSAGE period: I am a 40-year-old woman who has child reproductive organs and has never experienced a mensus. I have had to look at doctors, but everyone says I only have female reproductive organs. When I try to search for answers on the Internet I can't find anything. ALL my ""girls"" parts are normal. My organs never matured. Could you give me more information please.",Where can I find information on developmental disorders of the female reproductive system?
"THEME: Klinefelter syndrome MESSAGE: I would like to know more about my condition. Please send me any literature I feel I can use. Thank you, [NAME]",Where can I find information on klinefelter syndrome?
"My mother-in-law is in the final stage if lung cancer and she only has days to live. My question is... testing her and comparing her tests with my husbands and her sisters helps her determine if it is genetic? My mother-in-law ([NAME]) and her mother-in-law and her wicker sister both had lung cancer and none if they were smokers. I am very concerned that my husband has lung cancer now and I want to find out what we can do to protect him. Thank you,[NAME]",What are the genetic factors for lung cancer?
"THEME: Appropriate average weight MESSAGE: I am a 68-year-old man of 5'7"" height. Please give me a guide as to what would be a healthy weight for me. Even though I have back problems from a 2005 vertebral fracture and I have had 4 surgeries to include a stimulator and 3 merged vertebrae, however I remain quite active. I am currently weighing 179.4 pounds. Thank you for your help. [NAME]","What is a healthy weight for a 5'7"" male?"
THEME: Homeostasis and hypothermia (mainly on hypothermia) MESSAGE: What is homeostasis? Why is homeostasis so important? What technology do doctors use to cure hypothermia? What is the effectiveness of technology? How is that technology effective for the economy and the environment?,What is homeostasis and what are the treatments for hypothermia?
"THEME: Stimulation of the sacro nerve MESSAGE: How I seek medical instructions that perform procedures of stimulation of the sacro nerve for fecal incontinence. I need the procedure, and I want to go to the place with more experience.",How can I find physician(s) or hospital(s) who specialize in sacral nerve stimulation for fecal incontinence?
MESSAGE: Bleach in the sores of the bed? Yes or no? Listen to add water and rag?,Can I put bleach on bed sores?
"THEME: The whole body is red with itching and sclerotic eyes are red MESSAGE: what makes the skin of the whole body turn red, including the sclerotic eyes. There is also itching of the skin.","What are the causes of red, itchy skin and sclera?"
Specialists in ENT and esophogeal disorders. Could you kindly be able to recommend a specialist(s) in the DC area or east coast in the previous medical field for my mother. I am in a loss and would greatly appreciate your help. Thank you for your consideration.,How can I find physician(s) in the DC area who specialize in esophageal disorders?
THEME: Friedreich's ataxia message: I've been told that I have Friedreich's ataxia. I'm looking for a treatment to reverse it. I have to do with the defective chromosome 9 in both of my parents and possible damage to chromosome 10. Could you tell me if number 9 is defective in me?,"Where can I get genetic testing for friedreich's, and what are the treatments for it?"
"I need help with a rare disorder Hello, as I said I need help with a rare disorder. I have tested positive for lupus then - negative I have tested positive for a blood clotting disorder then - negative I have tested positive for Vasculitus Brain then Brian Vasculopathy? I have tested positive for a brain infection then I don't. I don't know what to think. I need a special testing center",Where can I receive comprehensive testing for difficult to diagnose symptoms?
THEME: Scabbies/ treatment area MESSAGE: My husband and I had scab. I used it in my vaginal area. I don't know how to treat the reaction I'm having. I think I burned the delicate tissue in that area. What can I do to treat the reaction. Please help any suggestions?,How is sgenital cabies treated?
THEME: Psoriasis for the last 7-8 years MESSAGE: I had psoriasis on the scalp for almost 10 years. Please give suggestions and medications.,What are the treatments for psoriasis?
THEME: lupus an info on the design MENSAGE: Need all up date on lupus an send by mail informations on this subject.. please i need more information to see what I am experiencing is in fact related to lupus ...thank you.,Where can I find the latest information on lupus?
THEME: ClinicalTrials.gov - Question - general information MESSAGE: I have a [AGE] and a [AGE] guys who have been diagnosed with the mutation of the mecp2 gene and yesterday my neurologist was also commenting on the possibility of ppm-x I am very worried that no one in this field can.I have been seen lasting changes that have no changes like any of the other features that have been reported.I am desperate to keep them safe and comfortable for the rest of my life and I could really use help. [NAME] [ CONTACT] please help me with any information that would be appreciated more than you know.,Where can I find information on mecp2 gene mutation and ppm-x syndrome?
"THEME: URGENT RESEARCH MESSAGE: Hello, I want to ask what other non-invasive alternatives there are in the diagnosis of a brain injury that is not an invasive magnetic resonance, a tomography or a pet scanner? The patient has a family history of cancer and is afraid of being exposed to radiation, and is also equipped with metal discs in his neck and spine after he developed scoliosis and osteoporosis. He lives in [LOCALIZATION]. His urgent response would be greatly appreciated. [NAME].","How is brain injury diagnosed, especially non-imaging techniques?"
"THEME: MESSAGE depositions: every time I eat something within 10-15 minutes I start to have mild stomach cramps and I have to hurry to the bathroom and my stools are slightly firm to liquid - what is causing this? I am afraid to eat in restaurants - it has been happening for about 3 years now I am an African American woman 53 years old, 5', 7"" tall, never had children, about 50 pounds overweight",What are the causes of cramps and diarrhea after eating?
"THEME: Glyburide 2.5 MG MESSAGE: I just picked up a recipe for Glyburide 2.5 MG tablets from Teva Pharmaceuticals and my pharmacy could not confirm that these tablets are gluten-free. Are these pills gluten-containing? Or are they made in shared equipment for other gluten products? Any help in this matter would be greatly appreciated, thanks for your time!",What are the ingredients of Glyburide and is it gluten free?
"I have had two hernias of 1-mesh shade area 10 years ago Dr [NAME] [LOCATION], & 1-plug & mesh 1 year ago Dr [NAME] [LOCATION], after severe and enormous bulging pain that never went away and severe nervous discomfort in the upper thigh during the past year, gave me mri and says I have another hernia! Then I saw a Dr [NAME] [LOCATION], he says I must lose 30 pounds before the operation., he says he wants to connect mesh to hip bones so using larger mesh that holds ethyl shade area!I don't know!The question is? it's this viable sonic procedure and researchers have heard about it? I'm interested in a giant research program that can be helped once! and for everyone if possible!","Where can I find the latest research on surgery for groin hernia, and and how can I find physician(s) in Palm Springs who specialize in it?"
"SUBJECT: Is it necessary to adjust my circadian rhythm? If so, how? MESSAGE: I had a saliva test last July, which showed my cortisol level at 9 @ 6:30am, 5.1 @ 11:30am, 4.2 @ 4:30pm, 3.3@ 9:30pm. I woke up frequently during the night and my brain seems to participate in a lot of thought, making it difficult to go back to sleep. I wake up well before the 5:45 alarm and drag myself out of bed. I am exhausted all day and I can fall asleep at day or night events I have seen endocrinologists, in addition to my GyN and the primary care doctor, all of whom tell me that all my blood tests are normal. I take 2 sports yoga classes and a Qi Gong class weekly. I was a 65-year-old young, but at 66, the lack of sleep has finally reached me and I feel much older than my 66 years. I feel tired and heavy.","Where can I find information on low cortisol levels, including symptoms, causes and treatments?"
THEME: Chemical reactions to medicines. MESSAGE: What is the clinical name of people who have chemical reactions to medicines? Is there a cure?,What are the treatments for drug reactions?
"MESSAGE: Hello.. My mother is about 50 years old.She has a keloid on her face.She has undergone all kinds of treatments, but all in vain (surgery surgery, surgery, steroids, compression band, etc.)It is getting bigger and bigger day by day.As in her face it is very difficult to confront people and society.So I ask her kindly to suggest a remedy for the same thing..Please.",What are the latest treatments for facials keloids?
"MESSAGE: I have celiac.disease and.need.to get started.Coumadin (Warfarin).I’m also very allergic to food coloring,.dyes. What manufacturer has gluten and warfarin without dyes? Please help me. I need to start taking it tomorrow. Thank you very much. [NAME]",What are the ingredients of warfarin and it is gluten and dye free?
"THEME: Ankylosing spondylitis MESSAGE: Hello, My name is [NAME] and I live in India. I have suffered ankylosing spondylitis problem since the last 2 years in the lower back. so plz guide me correctly how to cure this problem? Thank you [NAME]",What are the treatments for Ankylosing Spondylitis?
THEME: Snhl's message: I'm looking for a cure for sensory hearing loss. My daughter has been here for a month and a half. Please help me.,What are the treatments for sensorineural hearing loss?
"THEME: Hearing loss MESSAGE: Do you have experience of hearing loss due to an autoimmune disorder called Cogan syndrome? If so, I will contact you for my 18-year-old.",Can Cogan syndrome cause hearing loss?
TEMA: Chest exit syndrome MESSAGE: I was diagnosed with TOS on my left shoulder and was told that surgery would help my problem. Physiotherapy did not help me get tired of numbness in the pain in my hand just wondering if the statistics our good percentage wise for the results of surgery Dr.[NAME] is my surgeon.,What are the success rate and prognosis for thoracic outlet syndrome surgery?
"THEME: SERAL CREATININE MESSAGE: My serum creatinine level is 1.1. I am 36 years old and I have kidney stones. My question is, will the kidney stone affect the serum creatinine result?",Can a kidney stone affect the serum creatinine result?
Can I find a cure for my case in your therapeutic center that I have a chronic infection granulomatous mastitis take and how much treatment period. Please write me down from the post for you. to this my email address Note : that I have all medical reports and tests for this disease ??? this case of my wife and can be sent your comment below E-mail,What are the treatments for chronic granulomatous mastitis?
THEME: POMEGRANATE MESSAGE: Rosuvastatin (Crestor) Rosuvastatin (Crestor) is broken down by the body in the liver. Consumption of pomegranate juice may decrease the speed with which the liver breaks down rosuvastatin (Crestor). This may increase the effects and side effects of rosuvastatin (Crestor).,Does Lipitor interact with pomegranate juice?
"G6PD. I’ve been looking for detailed information on what someone with G6PD can and cannot eat or keep in touch, but I’m getting contradictory information. Any help?",What foods should be avoided with G6PD deficiency?
"Dear sir / lady I am 40 years old man and vericoceal on my left side. My wife is 24 years old, we are trying a baby for the last 4 months without any positive results. doctor suggests I try baby at least 1 year. please suggest me what I have to do for a baby. I will be very grateful. thank you [NAME] [LOCALIZATION]",What are treatments for male fertility issues and varicocele?
How can I choose the association between genetic mutilation and congestive heart failure?,Where can I find informaton on gene mutations and congestive heart failure?
"SUBJECT: Mystenia Gravis MESSAGE: hello I am 34 and a half years old, single woman. in 2011 I was diagnosed with MG (early stage) when my right eyelid collapsed a lot. the special blood test and enlarged thymus confirmed it. I was on medication prescribed from then until 3 months ago when I interrupted the medications assuming that I am fine. but the descent has started again although the thymus is no longer enlarged (as in the last computed tomography ) so my doctor has told me to continue with the medications for life. I am fine with it. but I do not want to transmit this disease to my children. pls tell me if there is any way that I can ensure that my children do not get this disease during pregnancy? it is genetic or the anthobodies transmit from pregnant mother to fetus? there is some way to save the baby from this disease / pls say .",Is myasthenia gravis inherited and can it be passed from mother to fetus?
"MESSAGE: I have numbness/ tingling in my lower right arm from my elbow to my fingers. An EMG has shown nothing abnormal. I have had this for a long time, I need help.",Where can I find information and treatment for numbness and tingling in lower right arm?
THEME: Loss of hair (men) in the legs/feet as an age MESSAGE: I have observed hair loss in lower limbs in men. Is this bad blood circulation? Any advice?,"Where can I find information on hair loss on the lower extremities in men, including causes and treatment?"
"Something else (below). Hello, you don't seem to know who to contact, so giving a chance to this message is worth a chance! My son was diagnosed with Wang's syndrome earlier this year, I know that there is such limited research on this syndrome, but I would really like to get so much information or find out if other children with this case are alive?! I was wondering if you have contacts you could contact, for example, your article on the UPD14 website Thank you for your time, hope to hear back from you. [NAME]","Where can I find information on Wang syndrome, including support groups?"
THEME: Gluten-free message: Can you tell me if this medication is gluten-free? Pms-Hydrochlorothiazide Thank you [NOMBER],What are the ingredients of Pms-Hydrochlorothiazide and it is gluten free?
THEME: NIGHT MESSAGE: My prostate was removed by surgery due to cancer several years ago. I have discussed this with my doctor and he can't give me anything that stops having to rise 4-6 times during the night to urinate. I have no pain with it and the current is normal. Your suggestions are welcome. Thank you.,What are the treatments for nocturia?
THEME: ClinicalTrials.gov - Question - General Information MESSAGE: I am 9 years after a bleeding stroke and I still can't use my arm or left hand and when I walk i hip walk on my left side. is this as good as it gets.,What is the long-term prognosis of limb use after stroke?
"THEME: Peripheral neuropathy MESSAGE: I am not diabetic, but there is diabetes in my family. I have neuropathy in my feet and hands and it keeps me awake at night. I have been in Gamapentin (300mg.) for years but I find it affects my balance (I am 90 years old)What else would I recommend you take to help me sleep? I am a ""walker"" and a ""swimming"" but my blood circulation has always been poor. Thank you for your suggestions!","What, besides gabapentin, can help me sleep better with peripheral neuropathy in my hands and feet?"
"Hello, We are students of [LOCALIZATION] and we are doing a project of biology of genetic diseases. We choose achondroplasia as our disease to investigate. We have a few questions and we hope you can answer them. Our questions are, can you tell if your child will have achondroplasia when you are pregnant? When do people usually come when they think something is not right with your child? What are the worst cases of achondroplasia you have ever seen? Thank you in advance. sincerely, [NAME]","Where can I find information on achondroplasia, including prenatal diagnosis and prognosis?"
Kindly tell me the hymen bleeding medicine. I am from [LOCALIZATION]. I lost my hymen and bleed now my marriage is close in 2 months and I am very depressed because in [LOCALIZATION] if the woman does not bleed on the first night of marriage then the husband give divorce I am very upset plz plz plz tell me the name of the medicine I use on the first night of marriage and bleed I am very grateful u plz tell me *** This message has been sent using QMobile ***,Is there a medication that can cause bleeding during sex?
Question. Do you know what genetic abnormality causes lipoamide Dehydrogenase Deficiency (E3)?,What is the genetic cause of Lipoamide Dehydrogenase Deficiency?
"Clinical Studies - Hep C Dear Lady / Lord, I am looking for clinical studies on Hep C and I want to know if my mother could participate in any of these studies, she is 65 years old and suffers from Hep C in stage 3 to 4, she has liver cirrhosis and caused variceal bleeding, so she receives an endoscopic variceal ligature every 3 months. the new treatment is not available in Egypt yet and we are not sure when it will be or if it will ever be ! it is very risky to wait in the case of my mother, and we cannot pay the cost of treatment abroad!! Please let me know if she could join one of your clinical studies, or if you can help us find other studies according to your case (I can send a complete record of your case) I would be very grateful.",What clinical trials are available for hepatitis C?
THEME: Hiatal hernia/MESSAGE exercise: I lost 24 pounds.Do you have an exercise I can do to correct hernia?,What exercises will help hiatal hernia?
MESSAGE: Should Advair and Spiriva be used together? I understand that both are control medicines,Can Advair and Spiriva be taken together?
"Angelman's syndrome. Can a person with Angelman's syndrome have children? If so, can the disorder be passed on to the offspring?",How is angelman syndrome inherited? 
THEME: Before getting married MESSAGE: Can this help when I marry the girl I'm with (In vitro) your family has something cAlled Pheochromocytoma Paraganglioma only their brother and father have it. She's just a carrier. Do you think In vitro could prevent it if we have children?,How is Pheochromocytoma Paraganglioma inherited?
"THEME: RETINAL MESSAGE: I wonder about new research and evidence on macular degeneration and the opportunity to be part of this process. I am 48 years old and have macular degeneration, I am blind to the right and very sad because my illness is getting worse in my left eye.",Where can I find clinical trials for macular degeneration?
"THEME: DAYTRANA MESSAGE: Can a man aged 18 and almost 19 be prescribed daytrana? If so, what dose? He has 230 pounds. He has tried several ADHD medications in the past.",What are dosage guidelines for Daytrana?
ectopic pregnancy. Is there any chance that my daughter could have an ectopic pregnancy if my wife had it?,Does ectopic pregnancies run in families?
SUBJECT: MESSAGE swollen tumor pots: What will happen to a 53-year-old woman who has been worthy of swollen tumor pots if she does not undergo surgery? She has been taking antibiotics for almost a year but is afraid of having surgery and is getting worse thanks for her time [NOMBER],What is the prognosis for untreated pott's puffy tumor?
"TEMA: I can't locate any information about this condition: causes, symptoms, treatment, etc. I've had it in the past and I suspect I have it again. I would like to investigate this condition, but the internet search only appears with cancer. I realize that my case isn't addressed in your response. I'm simply looking for general information.","Where can I find information on candida of the esophagus, including causes, symptoms, and treatment?"
"THEME: NDC# for injection, Testosterone cipionate, 1 mg MESSAGE: I am trying to find the NDC# for injection mentioned above. There is a new code HCPCS J1071 ([DATE]), the code is still new and no one knows how to bill the insurance yet. With NDC# we will be able to find out how the injection is packaged. Thank you for your help!",What is the NDC code for 1 mg Testosterone Cypionate injection?
Subject: SUBJECT MESSAGE: I'm calling because I would like to know more tips about Risperdoine treatment and get experiences about the medication. And create the medication,"Where can I find information on risperidone, including how it is manufactured?"
"Subject: ClinicalTrials.gov - Question - General Information MESSAGE: MY NAME IS [NOMBER]. In [Date] I went to [location] about my feet being down. They put me in Lyrica. Well, I’m worse now that today my foot has been asleep now I’m in a lot of pain and it’s all the way to MT KNEES I need some kind of help. There’s no insurance. There’s no money I can find for me. Please contact me at [NOMBER] THANKS",Where can I get help for neuropathic foot pain?
Subject: GENDER DYSFORIA MESSAGE: No health care for my son was suffering from GENDER DYSFORIA What can we do to help him work outside high school there are no problems now not working and shutting up in his room 24/7 there is nothing about this condition in our area that we live in [location].,Where can I find information on treatment and resources for gender dysphoria?
"TIP: Bowl moves asks. MESSAGE: I have been having BM two or three times a day, that is not a problem, it seems natural, but the feeling that I have not finished is there every time. I feel that I have not finished and something will come back, when I wake up. I had back surgery 6 months ago.",What are the treatments for incomplete bowel emptying?
neurosyphilis. How can anyone have neurosyphilis and there is no pair having syphilis,Are partners of people with neurosyphilis at risk for syphilis?
"My husband and I have a four-month-old boy. He, like all other babies like to scratch his face and head with fingernails! We wondered if it would be okay or it would be dangerous to use extra force Benadryl Gel on his face and head when he is asleep? It looks really bad on his face. We don’t know what else to do to get him to leave! Please send me an email as soon as possible! Thank you, Mr. & Mrs. [NAME]",Can Benadryl gel or something else be used for scratches on baby’s face?
"MESSAGE: I need help. I have been suffering from a lack of appetite for a few moments and have done a lot to help the situation, but there is no improvement.So I am begging you to kindly help me with this problem.If there is a medicine that can cure me please I et me know. contact me through: [Contact] or [Contact]. Thank you.",What are the treatments for loss of appetite?
"We appreciate your answer. My son is 24 years old. We cannot find any medication, treatment as well as hospitals to fight Wilson’s disease in [LOCATION]. Currently there is [PHI] person with Wilson’s disease in [LOCATION] who is my child. We can’t find anything good to help my child right now. Therefore, we need some place where my child can get help. We’re also lacking financial conditions to support my child’s full treatment. However, we want to have good medicines with less costs if possible. We want to be diagnosed with my child’s other infected organs and we want to know how we can help to recover them well. Greetings [NOMBRE].","What are the treatments for Wilson's disease, and how can I find physician(s) or hospital(s) who specialize in it?"
"THEME: Man, 89, unable to urinate MESSAGE: My husband, 89, has been unable to urinate for 11 hours after his catheter was removed. Is it time to call the doctor?",When do you seek medical care for urinary retention after catheter removal?
"THEME: TENOL MESSAGE: Take 50mg of blood pressure, working blood pressure 91/59 HR65, most of the lower time at the top in the mid 80s. My doctor is not in for 3 days. What can I do to raise it. I am in anxiety, pain and muscle relaxants for a medical condition in my neck and legs that I cannot have surgery again. Please, how to get my pressure back until I can get to my doctor? I am so tired and I cannot get rid of the headache.",What are the treatments for low blood pressure?
THEME: Blood sugar levels and Parkinson's MESSAGE: I wonder if there is a correlation between blood sugar levels and how it can affect Parkinson's presentation particularly in tremors. It seems that extreme blood sugar levels would make tremors much worse and not seem typical.,Is there a connection between blood sugar levels and symptoms of Parkinson's disease?
"chromosome 3 found in the blood between the father and the son, does this mean that my son, the blood is not the same as mine, I was told it was all about learning problems, but I'm worried that there are more involved, you can send me a graph or something that describes cap 3 is all and also what area of the body is being tested in spicaly a 9-year-old, thank you",What health conditions are associated with changes in chromosome 3?
"THEME: Bath message: Can I go to the bathtub, pool or shower while wearing the lidocaine patch? If not, I can remove the patch (2 or 3), and put a new one in a different area for the rest of the 12 hours. ""on"" period",Can the lidocaine patch get wet or be replaced after getting wet?
"THEME: THEOPHYLINE MESSAGE: I have been taking this medication since 1994. Now my PCP will not prescribe it and has sent me to a pulmonary specialist who will not prescribe it either. She wants me to take more expensive medicines like Advair Diskus. Neither of the two doctors has performed a serum Theophylline level. The pulmonologist performed a PFt and ordered a metachlorin test that I canceled. I have no asthma I have bronchitis. Both doctors told me it was extremely dangerous to take this medication during this long period. I have not had any problems with it. Now that I have stopped taking it I do not feel as well as I did with it. My questions are dangerous to take Theophylline in the long term? Should they have stopped the medication suddenly as they did? Please help me. Thank you, [NAME] (I am 57 years old)","Are there adverse effects of long term Theophylline use, and how should Theophylline be stopped?"
"THEME: Childhood suffers from lead poisoning as adults MESSAGE: Hello. My name is J[NAME] When I was three years old, I suffered from mild/moderate lead paint poisoning. I am now 38 years old and look for ways to treat the long-term symptoms that originated with lead exposure.","What are the long-term effects of lead poisoning, and how can they be treated?"
THEME: MESSAGE of pregnancy: I just want to ask if I have any way or have an operation to be pregnant a woman like me had a tubal ligature before age 7. Aug..,Where can I find information on tubal ligation reversal?
"SUBJECT: ClinicalTrials.gov - Question - specific study MESSAGE: My name is [NAME] and I am 76 years old. I have had jock itching (only itchy without rash) for 7 years. When I try to stop itchy comes back with revenge. I am currently using Ketoconazole 2% cream to control itching. I seem to be doomed to any cure, but I hope to be wrong. Therefore, considering this I have some questions: 1. Am I still doomed or is there/are there any medications or treatments that can cure me? 2. If not, is there any medicine that your studies have proven to be superior to Ketoconazole? If so, will you please list up to 3 of them for me? 3. My Dermatologist suggested that I use Zeasorb antifungal powder. Have you ever done a study of this? If so, how does it work when compared to Ketoconazole or any of the medications that you may have listed in #2 above?",What are alternative treatments to Ketoconazole for jock itch?
"THEME: Operation for Pectus Excavatum MESSAGE: Dear doctors, Good morning! We are residents of [LOCATION] (formerly affected by the super typhoon Haiyan). We noticed with our nephew that he is 16 years old now that his chest is not normal the same as the other nephew that we are the same age. When we began to consult our doctor at [LOCATION], we were told that it is normal, however, we are worried because as we can it is a symptom of Pectus Excavatum. We want to know from you the details what to do if we want our nephew to undergo this type of operation to correct the ribs in his chest (Pectus excavatum)? I hope to hear from you. Thank you very much. [NOMBER]",Whare can I find information on surgery for Pectus Excavatum?
"THEME: on the treatment of thalassemia MESSAGE: sir, my friend is suffering from thalassemia , in which anemia mostly of red blood, white blood anemia and blood is coming out of the mouth when she got cough . her condition is very serious . in her body red blood cells , white blood cells are abscent .so that blood transfusion is making for every 16-20days.then in the last few days blood also coming out of the mouth please tell me where I can get treatment for this disease . we can travel around the world for treatment please answer me as soon as possible. thank you sir.",What are the treatments for thalassemia?
"THEME: MESSAGE OF THE chickenpox: I don't know if I had chickenpox. Is there a blood test available to tell me ? And if not, what vaccine should I receive, if any ?",Is there a blood test for chickenpox and who should get vaccinated?
Glucose tolerance test. Is Mountain Dew an acceptable drink for the glucose tolerance test?,Can soda be used as the glucose test drink?
"SUBJECT: ClinicalTrials.gov - Question - general information MESSAGE: Dear team, In 1996, I had an accident in my left eye when a ball broke it. Retina fell, the target was damaged. I had not been operated at that point only later, in 2003, when the pressure was very high (above 30 mpm). This first operation had fixed the retina with endolaser, removed vitreous body full of silicone oil, replaced the lens with an artificial and stabilized pressure around 15-10 mpm. However, the eye was detached, the retina was detached and had to be operated again. This time, the oil was replaced by gas. After 2 years, another attempt made with oil and finally with gas, but the retina fell over and over again. Currently, the retina is still separated, the pressure is low (maximum 4mp), has often blood around the iris and hurts a little when the air pressure changes.",What are alternatives to enucleation?
"Tonight I injected myself and the nurse said my blood is light, what does that mean? Sinfe, I've been worried.",Why is my blood a light red?
"Diet plan for patients who have cholesterol and diabetes. Dear sir/ma'am, could you send me a diet plan for patients who have cholesterol and diabetes? It’s for someone close to me. I don’t want it in the form of numerical carbohydrate/protein data, just what all foods they can eat (their amounts/combination). If possible, I could also send it in Malayalam?",What is a good diet plan for high cholesterol and diabetes?
"THEME: Find a doctor, a specialist in this MESSAGE problem: that is a certified Opt. in or near the Nashville, TN area that does surgery for strabismus. please help me find a trusted doctor who performs this type of surgery.",How can I find physician(s) who specialize in strabismus surgery near Nashville TN?
"Subject: HIV speakers or messages: help keep this on and off for 13 years most of the speed started at RT ARM HIP, 3 at Stomack and puts a few in the leg.",What are the diagnosis and treatments for shingles?
"TIP: Second Hand Smoking MESSAGE: Dear Mr/Miss I am interested in second hand Smoking and the dangers for children and I hope you can help me with the questions I have. If two smokers smoke every day in the house only on Saturday night and Sunday morning they do not smoke in the house and there are children who visit that house on Sunday morning and stay all day, is there a second hand danger smoking for children? Yes, yes, what is the danger? Is there a second hand danger smoking for children if they stay all weekend in that house? Yes, what is the danger? Is there danger and what for children if a person smokes in the car? Thank you very much in advance.",What are the dangers to children of secondhand smoke residue?
"Pemphigus, vulgaris. I have a family member who is suffering from Pemphigus, vulgaris. Has it been happening for the last 6 months she is a 29-year-old girl, she has been in steriodes for treatment, worries me if she can have a baby?",Does pemphigus vulgaris or steriod treatment for it affect female fertility?
"THEME: VD MESSAGE: Many years ago I went to my doctor because I had blisters like blows inside the vagina. He squeezed them all and I have always wondered if my husband had given me some kind of venerated illness. They came back and I squeezed them myself. They had rubber stuff on them. I ask Dr. what they were and he just said this ""oh nothing to worry about, some women just get these."" Was this some kind of VD you think? Thanks for an answer. We are divorced now and he has passed away. [NOMBER]",Could blister-like bumps on the inside of the vagina be indicative of veneral disease?
THEME: MESSAGE OF Arthritis: Is Trimethoprim/ sulfametozle medicine useful in arthritis?,Is Trimethoprim / sulfamethazole indicated for arthritis?
THEME: Does fluocinonidide contain tea tree oil? An allergist determined that I am allergic. MESSAGE: Tea tree oil is identified in a product as a fragrance and I used this product yesterday and my fingers break significantly and I would like to know if I am allergic to fluocinonid.,Does tea tree oil contain fluocinonide?
"Thank you, [NOMBER] [LOCALIZATION] [LOCALIZATION] [LOCALIZATION]",Where can I find information on osteoporosis?
THEME: Multiple Misscarriage MESSAGE: I had 4 misscarriage before I had my baby healthy. I had another misscarriage a month ago. The Kareotype for the fetus shows genetic problems. Trisomy 8 and 15. Im 39 years. It's the first time I know the reason for the loss. I had the Kareotype for me and my husband and there's no problem. Dr infertility told me that I have progesterone problems because I don't know the reason for the 4 misscarriage I'm afraid to think that the reason for all the babies lost is for genetic causes. I want another baby. What are the chances of having a baby with genetic problems?,"After a miscarriage of a fetus with trisomy 8 and 15, what are the chances of a successful pregnancy?"
THEME: MESSAGE OF Parkinson’s disease: Has etanercept been used to help patients with Parkinson’s disease?,"Is etanercept a treatment for Parkinson's disease, and how did it perform?"
"THEME: Low red blood cell count MESSAGE: If a patient's red blood cell count becomes low due to a 3-month medication regimen, will the BBC normally return to normal when the prescribed medicine stops taking? Thank you. [NOMBER]",Will a low red blood count return to normal after the responsible medication is stopped?
THEME: Are the coleus and the venomous caladiums for pets? MESSAGE: Are these two plants considered poisonous for pets? The veterinarian said to call you and check on this.,Are coleus and caladiums poisonous to pets?
"THEME: Strabismus Lazy Eye MENSAGE: I am someone who is out to get information about the developments in sloth eye correction strabism. I will need information about all the therapy that is possible involving adult stem cell research therapy that will cause the brain to completely retrain with this after surgery has been done, and this is really important! [ CONTACT]","What are the treatments for strabismus, including stem cell therapies?"
THEME: Nephrotic Syndrome MESSAGE: What is Nephrotic Syndrome? What are its causes and cures?,"What is Nephrotic Syndrome, its causes and cures?"
"THEME: Treatment, Paralysis MESSAGE: I have a left leg is paralysis for 24 years, my other parts of the body is fine, it is possible that my leg is good for treatment, if possible how can I do treatment and where? THANK YOU",What are the treatments for leg paralysis?
"THEME: Anormal Growth MESSAGE: I have an 11-year-old grandson who doesn't seem to be growing normally with his age group. He has 4 other brothers and sisters 3 girls and a brother who except for the oldest {girl} all seem to be having normal growth. 11 I mean is very short and perplexed 5-7 inches shorter than his friends. His father is pretty short and perplexed as well. The other brother seems to have normal growth. Is there any answer to this, he is having an emotionally difficult time at school.","How is delayed growth diagnosed, and what are treatments for it?"
"SUBJECT: PROBLEM OF POLYUREA MESSAGE: RESPECT TO THE MEDIC EQUIPMENT , MEDLINEPLUS I am a pharmacist by profession and here I want to get some information/suggestions on the above mentioned topic.The story of the case is that a 65-year-old female patient is suffering in a condition POLY UREA.SHE is NOT PATIENT OF DIABEL.SHE DOES RESPECT TO A PROBLEM OF EXCESSIVE URINE IN THE NIGHT TO SUBIR.NONE CGAGE IN COLOR CHANG/BLOOD IN THE URINE, WHEN FUNTO, PAIN.",What are the tests and treatments for polyuria?
THEME: ClinicalTrials.gov - Question - specific study MESSAGE: I am hurting what above the over-the-counter medications I can take for autoimmune nervous disorder. So please help me.,What are the treatments for autoimmune nerve disorder?
THEME: ClinicalTrials.gov - Question - General Information MESSAGE: My daughter was recently diagnosed with a CTNNB1 mutation and there are only 4 cases published. Can you tell me where I can find more information?,Where can I find information about CTNNB1 mutation?
SUBJECT: Please send me medical information about heart failure for care. MESSAGE: Send me information about heart failure.,What are the treatments for heart failure?
Hi this is [NAME] I'm doing a research job and I'd love to know more about dystonia I have so I think a year and I want to know if it will ever go away and I'll ever be able to play sports again? -- [NAME],"Where can I find information on dystonia, including prognosis?"
my mom 75 years old who suffer from menimgtisneef cryptococcal help. I am desperate for a strong medicine that can help mom who is suffering from 75-year-old cryptococcal meningitis,What are the treatments for cryptococcal meningitis?
"THEME: MESSAGE OF Anxiety: How to deal with the anxiety and feeling that I'm about to have a heart attack? I'm taking clonazepam that helps, but I'd rather go back to the person I used to be without this condition. How can I retrain my brain in not thinking that an attachment to the heart is about to hit me?",What are the non-drug treatments for anxiety?
